Code,Office,VoterCount
06-0250-000,"JUSTICE PUBLIC LIBRARY DISTRICT",6933
06-0260-000,"KENILWORTH LIBRARY DISTRICT",1938
06-0270-000,"LA GRANGE PARK PUBLIC LIBRARY DISTRICT",9906
06-0280-000,"LEMONT PUBLIC LIBRARY DISTRICT",16152
06-0290-000,"LINCOLNWOOD PUBLIC LIBRARY DISTRICT",9644
06-0295-000,"Matteson Area Public Library District",14461
06-0300-000,"MAYWOOD PUBLIC LIBRARY DISTRICT",14446
06-0310-000,"MCCOOK PUBLIC LIBRARY DISTRICT",156
06-0320-000,"NANCY L. MCCONATHY PUBLIC LIBRARY DISTRICT",5908
06-0330-000,"Niles-Maine District Library",31892
06-0340-000,"NORTH RIVERSIDE PUBLIC LIBRARY DISTRICT",4923
06-0350-000,"NORTHLAKE PUBLIC LIBRARY DISTRICT",13212
06-0360-000,"ORLAND HILLS LIBRARY DISTRICT",4631
06-0370-000,"PALATINE PUBLIC LIBRARY DISTRICT",54478
06-0380-000,"PHOENIX PUBLIC LIBRARY DISTRICT",1348
06-0390-000,"POPLAR CREEK PUBLIC LIBRARY DISTRICT",24635
06-0400-000,"POSEN PUBLIC LIBRARY DISTRICT",2591
06-0410-000,"PRAIRIE TRAILS PUBLIC LIBRARY DISTRICT",16477
06-0420-000,"PROSPECT HEIGHTS PUBLIC LIBRARY DISTRICT",9590
06-0430-000,"RICHTON PARK PUBLIC LIBRARY DISTRICT",8952
06-0440-000,"RIVER GROVE PUBLIC LIBRARY DISTRICT",5509
06-0450-000,"RIVERDALE PUBLIC LIBRARY DISTRICT",7669
06-0460-000,"ROSELLE PUBLIC LIBRARY DISTRICT",1904
06-0480-000,"SCHAUMBURG TOWNSHIP DISTRICT LIBRARY",78107
06-0490-000,"STEGER-SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT",4829
06-0500-000,"STICKNEY-FOREST VIEW PUBLIC LIBRARY DISTRICT",5648
06-0510-000,"SUMMIT PUBLIC LIBRARY DISTRICT",4726
06-0515-000,"UNIVERSITY PARK PUBLIC LIBRARY DISTRICT",178
06-0520-000,"WILLIAM LEONARD PUBLIC LIBRARY DISTRICT",3532
06-0530-000,"WILMETTE PUBLIC LIBRARY DISTRICT",21253
06-0540-000,"WINNETKA-NORTHFIELD PUBLIC LIBRARY DISTRICT",14106
06-0550-000,"WORTH PUBLIC LIBRARY DISTRICT",6257
07-0010-000,"BARRINGTON COUNTRYSIDE FIRE PROTECTION DISTRICT",7846
07-0020-000,"BARTLETT FIRE PROTECTION DISTRICT",12318
07-0040-000,"CENTRAL STICKNEY FIRE PROTECTION DISTRICT",1426
07-0090-000,"EAST DUNDEE AND COUNTRYSIDE FIRE PROTECTION DISTRICT",661
07-0100-000,"ELK GROVE RURAL FIRE PROTECTION DISTRICT",1210
07-0110-000,"FOREST RIVER FIRE PROTECTION DISTRICT",605
07-0120-000,"FOREST VIEW FIRE PROTECTION DISTRICT",296
07-0130-000,"GARDEN HOMES FIRE PROTECTION DISTRICT",638
07-0140-000,"GLENBROOK FIRE PROTECTION DISTRICT",6135
07-0190-000,"HOFFMAN ESTATES FIRE PROTECTION DISTRICT",98
07-0200-000,"HOLBROOK FIRE PROTECTION DISTRICT",211
07-0210-000,"HOMETOWN FIRE PROTECTION DISTRICT",2827
07-0220-000,"LEMONT FIRE PROTECTION DISTRICT",16087
07-0230-000,"LEYDEN FIRE PROTECTION DISTRICT",5871
07-0240-000,"LONG GROVE FIRE PROTECTION DISTRICT",811
07-0250-000,"MILLER WOODS FIRE PROTECTION DISTRICT",26
07-0290-000,"NORTHLAKE FIRE PROTECTION DISTRICT",5855
07-0310-000,"NORTH MAINE FIRE PROTECTION DISTRICT",10831
07-0320-000,"NORTH PALOS FIRE PROTECTION DISTRICT",11699
07-0330-000,"NORTHBROOK RURAL FIRE PROTECTION DISTRICT",2946
07-0340-000,"NORTHWEST HOMER FIRE PROTECTION DISTRICT",230
07-0350-000,"NORWOOD PARK FIRE PROTECTION DISTRICT",15279
07-0370-000,"OLYMPIA GARDENS FIRE PROTECTION DISTRICT",209
07-0380-000,"ORLAND FIRE PROTECTION DISTRICT",50230
07-0390-000,"PALATINE RURAL FIRE PROTECTION DISTRICT",6043
07-0400-000,"PALOS FIRE PROTECTION DISTRICT",11647
07-0410-000,"PALOS HEIGHTS FIRE PROTECTION DISTRICT",8564
07-0440-000,"PLEASANT VIEW FIRE PROTECTION DISTRICT",14135
07-0450-000,"PROSPECT HEIGHTS FIRE PROTECTION DISTRICT",8220
07-0480-000,"ROBERTS PARK FIRE PROTECTION DISTRICT",14016
07-0500-000,"ROSELLE FIRE PROTECTION DISTRICT",1295
07-0520-000,"SUNNYCREST FIRE PROTECTION DISTRICT",628
07-0525-000,"Tri-State Fire Protection District",4297
07-0530-000,"YORKFIELD FIRE PROTECTION DISTRICT",199
08-0030-000,"CENTRAL STICKNEY SANITARY DISTRICT",1428
08-0080-000,"FOX RIVER WATER DISTRICT",11830
08-0090-000,"GARDEN HOMES SANITARY DISTRICT",747
08-0110-000,"GLENBROOK SANITARY DISTRICT",1206
08-0150-000,"KIMBERLY HEIGHTS SANITARY DISTRICT",435
08-0160-000,"LA GRANGE HIGHLANDS SANITARY DISTRICT",3946
08-0180-000,"METROPOLITAN WATER RECLAMATION DISTRICT",1530517
08-0190-000,"MISSION BROOK SANITARY DISTRICT",3176
08-0200-000,"NORTHFIELD WOODS SANITARY DISTRICT",3901
08-0220-000,"OAK MEADOW SANITARY DISTRICT",4313
08-0260-000,"PLUM GROVE ESTATES SANITARY DISTRICT",534
08-0270-000,"PLUMGROVE WOODLANDS SANITARY DISTRICT",120
08-0320-000,"SOUTH LYONS TOWNSHIP SANITARY DISTRICT",4080
08-0330-000,"SOUTH PALOS TOWNSHIP SANITARY DISTRICT",1261
08-0340-000,"SOUTH STICKNEY SANITARY DISTRICT",16585
08-0350-000,"THORN CREEK BASIN SANITARY DISTRICT",47994
08-0390-000,"WOODLEY ROAD SANITARY DISTRICT",299
50-0100-001,"BERWYN, WARD 1",4260
50-0100-002,"BERWYN, WARD 2",4195
50-0100-003,"BERWYN, WARD 3",4323
50-0100-004,"BERWYN, WARD 4",3731
50-0100-005,"BERWYN, WARD 5",3350
50-0100-006,"BERWYN, WARD 6",3573
50-0100-007,"BERWYN, WARD 7",4006
50-0100-008,"BERWYN, WARD 8",3326
50-0110-001,"BLUE ISLAND, WARD 1",1693
50-0110-002,"BLUE ISLAND, WARD 2",1735
50-0110-003,"BLUE ISLAND, WARD 3",1589
50-0110-004,"BLUE ISLAND, WARD 4",1709
50-0110-005,"BLUE ISLAND, WARD 5",1873
50-0110-006,"BLUE ISLAND, WARD 6",1861
50-0110-007,"BLUE ISLAND, WARD 7",1747
50-0160-001,"BURBANK, WARD 1",2432
50-0160-002,"BURBANK, WARD 2",2140
50-0160-003,"BURBANK, WARD 3",2286
50-0160-004,"BURBANK, WARD 4",2543
50-0160-005,"BURBANK, WARD 5",2242
50-0160-006,"BURBANK, WARD 6",2230
50-0160-007,"BURBANK, WARD 7",2071
50-0200-001,"CALUMET CITY, WARD 1",2693
50-0200-002,"CALUMET CITY, WARD 2",3869
50-0200-003,"CALUMET CITY, WARD 3",3453
50-0200-004,"CALUMET CITY, WARD 4",3979
50-0200-005,"CALUMET CITY, WARD 5",2859
50-0200-006,"CALUMET CITY, WARD 6",3214
50-0200-007,"CALUMET CITY, WARD 7",3633
50-0220-001,"CHICAGO HEIGHTS, WARD 1",2329
50-0220-002,"CHICAGO HEIGHTS, WARD 2",1469
50-0220-003,"CHICAGO HEIGHTS, WARD 3",2079
50-0220-004,"CHICAGO HEIGHTS, WARD 4",2500
50-0220-005,"CHICAGO HEIGHTS, WARD 5",2690
50-0220-006,"CHICAGO HEIGHTS, WARD 6",3105
50-0220-007,"CHICAGO HEIGHTS, WARD 7",1732
50-0240-001,"COUNTRY CLUB HILLS, WARD 1",2456
50-0240-002,"COUNTRY CLUB HILLS, WARD 2",2826
50-0240-003,"COUNTRY CLUB HILLS, WARD 3",2452
50-0240-004,"COUNTRY CLUB HILLS, WARD 4",2215
50-0240-005,"COUNTRY CLUB HILLS, WARD 5",2384
50-0250-001,"COUNTRYSIDE, WARD 1",1269
50-0250-002,"COUNTRYSIDE, WARD 2",1486
50-0250-003,"COUNTRYSIDE, WARD 3",1411
50-0290-001,"DES PLAINES, WARD 1",4814
50-0290-002,"DES PLAINES, WARD 2",5091
50-0290-003,"DES PLAINES, WARD 3",4633
50-0290-004,"DES PLAINES, WARD 4",4971
50-0290-005,"DES PLAINES, WARD 5",3850
50-0290-006,"DES PLAINES, WARD 6",4579
50-0290-007,"DES PLAINES, WARD 7",5496
50-0290-008,"DES PLAINES, WARD 8",4114
50-0380-001,"EVANSTON, WARD 1",4512
50-0380-002,"EVANSTON, WARD 2",6034
50-0380-003,"EVANSTON, WARD 3",6894
50-0380-004,"EVANSTON, WARD 4",5585
50-0380-005,"EVANSTON, WARD 5",4314
50-0380-006,"EVANSTON, WARD 6",7148
50-0380-007,"EVANSTON, WARD 7",5995
50-0380-008,"EVANSTON, WARD 8",5444
50-0380-009,"EVANSTON, WARD 9",5720
50-0510-001,"HARVEY, WARD 1",2185
50-0510-002,"HARVEY, WARD 2",2109
50-0510-003,"HARVEY, WARD 3",2142
50-0510-004,"HARVEY, WARD 4",2005
50-0510-005,"HARVEY, WARD 5",1634
50-0510-006,"HARVEY, WARD 6",2625
50-0540-001,"HICKORY HILLS, WARD 1",1878
50-0540-002,"HICKORY HILLS, WARD 2",1960
50-0540-003,"HICKORY HILLS, WARD 3",2452
50-0540-004,"HICKORY HILLS, WARD 4",2044
50-0590-001,"HOMETOWN, WARD 1",663
50-0590-002,"HOMETOWN, WARD 2",576
50-0590-003,"HOMETOWN, WARD 3",536
50-0590-004,"HOMETOWN, WARD 4",588
50-0590-005,"HOMETOWN, WARD 5",464
50-0730-001,"MARKHAM, WARD 1",1396
50-0730-002,"MARKHAM, WARD 2",1597
50-0730-003,"MARKHAM, WARD 3",2833
50-0730-004,"MARKHAM, WARD 4",2536
50-0850-001,"NORTHLAKE, WARD 1",1730
50-0850-002,"NORTHLAKE, WARD 2",1274
50-0850-003,"NORTHLAKE, WARD 3",1844
50-0850-004,"NORTHLAKE, WARD 4",1922
50-0900-001,"OAK FOREST, WARD 1",3154
50-0900-002,"OAK FOREST, WARD 2",2249
50-0900-003,"OAK FOREST, WARD 3",2116
50-0900-004,"OAK FOREST, WARD 4",2387
50-0900-005,"OAK FOREST, WARD 5",2903
50-0900-006,"OAK FOREST, WARD 6",2156
50-0900-007,"OAK FOREST, WARD 7",3155
50-0910-001,"OAK LAWN, DISTRICT 1",5842
50-0910-002,"OAK LAWN, DISTRICT 2",6169
50-0910-003,"OAK LAWN, DISTRICT 3",6297
50-0910-004,"OAK LAWN, DISTRICT 4",6365
50-0910-005,"OAK LAWN, DISTRICT 5",6575
50-0910-006,"OAK LAWN, DISTRICT 6",6779
50-0960-001,"PALATINE, DISTRICT 1",7975
50-0960-002,"PALATINE, DISTRICT 2",8161
50-0960-003,"PALATINE, DISTRICT 3",6588
50-0960-004,"PALATINE, DISTRICT 4",5551
50-0960-005,"PALATINE, DISTRICT 5",6485
50-0960-006,"PALATINE, DISTRICT 6",8527
50-0970-001,"PALOS HEIGHTS, WARD 1",2525
50-0970-002,"PALOS HEIGHTS, WARD 2",1992
50-0970-003,"PALOS HEIGHTS, WARD 3",2228
50-0970-004,"PALOS HEIGHTS, WARD 4",2725
50-0980-001,"PALOS HILLS, WARD 1",1943
50-0980-002,"PALOS HILLS, WARD 2",1802
50-0980-003,"PALOS HILLS, WARD 3",2495
50-0980-004,"PALOS HILLS, WARD 4",1827
50-0980-005,"PALOS HILLS, WARD 5",3126
50-1010-001,"PARK RIDGE, WARD 1",3991
50-1010-002,"PARK RIDGE, WARD 2",3796
50-1010-003,"PARK RIDGE, WARD 3",3916
50-1010-004,"PARK RIDGE, WARD 4",4274
50-1010-005,"PARK RIDGE, WARD 5",4617
50-1010-006,"PARK RIDGE, WARD 6",4219
50-1010-007,"PARK RIDGE, WARD 7",4218
50-1040-001,"PROSPECT HEIGHTS, WARD 1",1113
50-1040-002,"PROSPECT HEIGHTS, WARD 2",1856
50-1040-003,"PROSPECT HEIGHTS, WARD 3",2147
50-1040-004,"PROSPECT HEIGHTS, WARD 4",2310
50-1040-005,"PROSPECT HEIGHTS, WARD 5",759
50-1110-001,"ROLLING MEADOWS, WARD 1",2474
50-1110-002,"ROLLING MEADOWS, WARD 2",2291
50-1110-003,"ROLLING MEADOWS, WARD 3",2375
50-1110-004,"ROLLING MEADOWS, WARD 4",2378
50-1110-005,"ROLLING MEADOWS, WARD 5",960
50-1110-006,"ROLLING MEADOWS, WARD 6",1837
50-1110-007,"ROLLING MEADOWS, WARD 7",1517
52-TRST-071,"BLOOM TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 35N, RANGE 14E",121730
52-TRST-072,"BREMEN TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 36N, RANGE 13E",76860
52-TRST-073,"CALUMET TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 37N, RANGE 14E",11877
52-TRST-074,"ELK GROVE TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 41N, RANGE 11E",57322
52-TRST-077,"LEMONT TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 37N, RANGE 11E",16317
52-TRST-079,"LYONS TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 38N, RANGE 12E",85591
52-TRST-080,"MAINE TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 41N, RANGE 12E",124196
52-TRST-081,"NEW TRIER TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 42N, RANGE 13E",44067
52-TRST-082,"NILES TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 41N, RANGE 13E",74002
52-TRST-083,"NORTHFIELD TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 42N, RANGE 12E",69218
52-TRST-084,"JEFFERSON TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 40N, RANGE 13E",3519
52-TRST-086,"ORLAND TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 36N, RANGE 12E",85671
52-TRST-088,"PALOS TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 37N, RANGE12E",36222
52-TRST-089,"PROVISO TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 39N, RANGE 12E",119005
52-TRST-090,"RICH TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 35N, RANGE 13E",56734
52-TRST-094,"STICKNEY TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 38N, RANGE 13E",22236
52-TRST-095,"THORNTON TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 36N, RANGE 14E",87594
52-TRST-097,"WORTH TOWNSHIP TRUSTEE OF SCHOOLS, TOWNSHIP 37N, RANGE 13E",117214
52-TRST-098,"CICERO TOWNSHIP TRUSTEES OF SCHOOLS, TOWNSHIP 39N, RANGE 13E",103407
52-TRST-951,"THORNTON FRACTIONAL TRUSTEE OF SCHOOLS, TOWNSHIP 36N, RANGE 15E",41544
53-TRST-660,"KANE COUNTY TRUSTEE OF SCHOOLS",54372
53-TRST-670,"LAKE COUNTY TRUSTEE OF SCHOOLS",15177
53-TRST-680,"DU PAGE COUNTY TRUSTEE OF SCHOOLS",9
54-TRST-661,"KANE COUNTY SUPERINTENDENT OF EDUCATION",54372
54-TRST-671,"LAKE COUNTY SUPERINTENDENT OF EDUCATION",15177
54-TRST-681,"DU PAGE COUNTY SUPERINTENDENT OF EDUCATION",9
55-2180-001,"HIGH SCHOOL DISTRICT 218, DISTRICT 1",10368
55-2180-002,"HIGH SCHOOL DISTRICT 218, DISTRICT 2",8879
55-2180-003,"HIGH SCHOOL DISTRICT 218, DISTRICT 3",10341
55-2180-004,"HIGH SCHOOL DISTRICT 218, DISTRICT 4",11559
55-2180-005,"HIGH SCHOOL DISTRICT 218, DISTRICT 5",11866
55-2180-006,"HIGH SCHOOL DISTRICT 218, DISTRICT 6",11207
55-2180-007,"HIGH SCHOOL DISTRICT 218, DISTRICT 7",11723
58-0190-001,"CHICAGO HEIGHTS PARK DISTRICT, WARD 1",2329
58-0190-002,"CHICAGO HEIGHTS PARK DISTRICT, WARD 2",1469
58-0190-003,"CHICAGO HEIGHTS PARK DISTRICT, WARD 3",2079
58-0190-004,"CHICAGO HEIGHTS PARK DISTRICT, WARD 4",2499
58-0190-005,"CHICAGO HEIGHTS PARK DISTRICT, WARD 5",2684
58-0190-006,"CHICAGO HEIGHTS PARK DISTRICT, WARD 6",3105
58-0190-007,"CHICAGO HEIGHTS PARK DISTRICT, WARD 7",1732
62-XXXX-000,"UNINCORPORATED COOK COUNTY",58589
65-CONG-001,"1ST CONGRESSIONAL DISTRICT",143321
65-CONG-002,"2ND CONGRESSIONAL DISTRICT",241955
65-CONG-003,"3RD CONGRESSIONAL DISTRICT",243953
65-CONG-004,"4TH CONGRESSIONAL DISTRICT",91918
65-CONG-005,"5TH CONGRESSIONAL DISTRICT",74792
65-CONG-006,"6TH CONGRESSIONAL DISTRICT",66540
65-CONG-007,"7TH CONGRESSIONAL DISTRICT",110475
65-CONG-008,"8TH CONGRESSIONAL DISTRICT",204316
65-CONG-009,"9TH CONGRESSIONAL DISTRICT",323584
65-CONG-010,"10TH CONGRESSIONAL DISTRICT",104164
65-CONG-011,"11TH CONGRESSIONAL DISTRICT",3457
70-REPD-001,"1ST REPRESENTATIVE DISTRICT",1428
70-REPD-003,"3RD REPRESENTATIVE DISTRICT",1083
70-REPD-007,"7TH REPRESENTATIVE DISTRICT",76171
70-REPD-008,"8TH REPRESENTATIVE DISTRICT",32353
70-REPD-014,"14TH REPRESENTATIVE DISTRICT",2289
70-REPD-015,"15TH REPRESENTATIVE DISTRICT",36320
70-REPD-016,"16TH REPRESENTATIVE DISTRICT",35905
70-REPD-017,"17TH REPRESENTATIVE DISTRICT",80508
70-REPD-018,"18TH REPRESENTATIVE DISTRICT",80578
70-REPD-019,"19TH REPRESENTATIVE DISTRICT",8853
70-REPD-020,"20TH REPRESENTATIVE DISTRICT",39599
70-REPD-021,"21ST REPRESENTATIVE DISTRICT",19627
70-REPD-022,"22ND REPRESENTATIVE DISTRICT",2473
70-REPD-023,"23RD REPRESENTATIVE DISTRICT",53689
70-REPD-024,"24TH REPRESENTATIVE DISTRICT",40294
70-REPD-027,"27TH REPRESENTATIVE DISTRICT",30388
70-REPD-028,"28TH REPRESENTATIVE DISTRICT",43341
70-REPD-029,"29TH REPRESENTATIVE DISTRICT",51605
70-REPD-030,"30TH REPRESENTATIVE DISTRICT",65571
70-REPD-031,"31ST REPRESENTATIVE DISTRICT",30186
70-REPD-032,"32ND REPRESENTATIVE DISTRICT",18907
70-REPD-033,"33RD REPRESENTATIVE DISTRICT",33399
70-REPD-034,"34TH REPRESENTATIVE DISTRICT",20402
70-REPD-035,"35TH REPRESENTATIVE DISTRICT",44481
70-REPD-036,"36TH REPRESENTATIVE DISTRICT",64730
70-REPD-037,"37TH REPRESENTATIVE DISTRICT",20032
70-REPD-038,"38TH REPRESENTATIVE DISTRICT",70720
70-REPD-043,"43RD REPRESENTATIVE DISTRICT",11747
70-REPD-044,"44TH REPRESENTATIVE DISTRICT",59699
70-REPD-045,"45TH REPRESENTATIVE DISTRICT",5467
70-REPD-047,"47TH REPRESENTATIVE DISTRICT",5273
70-REPD-049,"49TH REPRESENTATIVE DISTRICT",4999
70-REPD-051,"51ST REPRESENTATIVE DISTRICT",451
70-REPD-052,"52ND REPRESENTATIVE DISTRICT",12143
70-REPD-053,"53RD REPRESENTATIVE DISTRICT",75380
70-REPD-054,"54TH REPRESENTATIVE DISTRICT",75451
70-REPD-055,"55TH REPRESENTATIVE DISTRICT",65656
70-REPD-056,"56TH REPRESENTATIVE DISTRICT",55612
70-REPD-057,"57TH REPRESENTATIVE DISTRICT",58773
70-REPD-058,"58TH REPRESENTATIVE DISTRICT",6570
70-REPD-059,"59TH REPRESENTATIVE DISTRICT",8109
70-REPD-077,"77TH REPRESENTATIVE DISTRICT",28303
70-REPD-078,"78TH REPRESENTATIVE DISTRICT",54093
70-REPD-080,"80TH REPRESENTATIVE DISTRICT",41313
70-REPD-082,"82ND REPRESENTATIVE DISTRICT",34504
75-JUDD-001,"COOK COUNTY JUDICIAL CIRCUIT 1ST SUBCIRCUIT",41225
75-JUDD-002,"COOK COUNTY JUDICIAL CIRCUIT 2ND SUBCIRCUIT",107359
75-JUDD-003,"COOK COUNTY JUDICIAL CIRCUIT 3RD SUBCIRCUIT",68273
75-JUDD-004,"COOK COUNTY JUDICIAL CIRCUIT 4TH SUBCIRCUIT",223895
75-JUDD-007,"COOK COUNTY JUDICIAL CIRCUIT 7TH SUBCIRCUIT",50201
75-JUDD-009,"COOK COUNTY JUDICIAL CIRCUIT 9TH SUBCIRCUIT",156368
75-JUDD-010,"COOK COUNTY JUDICIAL CIRCUIT 10TH SUBCIRCUIT",53234
75-JUDD-011,"COOK COUNTY JUDICIAL CIRCUIT 11TH SUBCIRCUIT",112616
75-JUDD-012,"COOK COUNTY JUDICIAL CIRCUIT 12TH SUBCIRCUIT",241307
75-JUDD-013,"COOK COUNTY JUDICIAL CIRCUIT 13TH SUBCIRCUIT",243618
75-JUDD-014,"COOK COUNTY JUDICIAL CIRCUIT 14TH SUBCIRCUIT",32061
75-JUDD-015,"COOK COUNTY JUDICIAL CIRCUIT 15TH SUBCIRCUIT",278318
79-0110-001,"BLUE ISLAND, WARD 1 (OLD)",1465
79-0110-002,"BLUE ISLAND, WARD 2 (OLD)",1612
79-0110-003,"BLUE ISLAND, WARD 3 (OLD)",1589
79-0110-004,"BLUE ISLAND, WARD 4 (OLD)",1641
79-0110-005,"BLUE ISLAND, WARD 5 (OLD)",2108
79-0110-006,"BLUE ISLAND, WARD 6 (OLD)",1969
79-0110-007,"BLUE ISLAND, WARD 7 (OLD)",1792
80-CCBD-001,"1ST COUNTY BOARD DISTRICT",85174
80-CCBD-004,"4TH COUNTY BOARD DISTRICT",52221
80-CCBD-005,"5TH COUNTY BOARD DISTRICT",126657
80-CCBD-006,"6TH COUNTY BOARD DISTRICT",202832
80-CCBD-009,"9TH COUNTY BOARD DISTRICT",149907
80-CCBD-011,"11TH COUNTY BOARD DISTRICT",59439
80-CCBD-013,"13TH COUNTY BOARD DISTRICT",167804
80-CCBD-014,"14TH COUNTY BOARD DISTRICT",206022
80-CCBD-015,"15TH COUNTY BOARD DISTRICT",192696
80-CCBD-016,"16TH COUNTY BOARD DISTRICT",139847
80-CCBD-017,"17TH COUNTY BOARD DISTRICT",225876
85-BORD-001,"BOARD OF REVIEW 1ST DISTRICT",1077048
85-BORD-002,"BOARD OF REVIEW 2ND DISTRICT",161281
85-BORD-003,"BOARD OF REVIEW 3RD DISTRICT",370146
99-SEND-001,"1ST SENATE DISTRICT",1428
99-SEND-002,"2ND SENATE DISTRICT",1083
99-SEND-004,"4TH SENATE DISTRICT",108524
99-SEND-007,"7TH SENATE DISTRICT",2289
99-SEND-008,"8TH SENATE DISTRICT",72225
99-SEND-009,"9TH SENATE DISTRICT",161086
99-SEND-010,"10TH SENATE DISTRICT",48452
99-SEND-011,"11TH SENATE DISTRICT",22100
99-SEND-012,"12TH SENATE DISTRICT",93983
99-SEND-014,"14TH SENATE DISTRICT",73729
99-SEND-015,"15TH SENATE DISTRICT",117176
99-SEND-016,"16TH SENATE DISTRICT",49093
99-SEND-017,"17TH SENATE DISTRICT",53801
99-SEND-018,"18TH SENATE DISTRICT",109211
99-SEND-019,"19TH SENATE DISTRICT",90752
99-SEND-022,"22ND SENATE DISTRICT",71446
99-SEND-023,"23RD SENATE DISTRICT",5467
99-SEND-024,"24TH SENATE DISTRICT",5273
99-SEND-025,"25TH SENATE DISTRICT",4999
99-SEND-026,"26TH SENATE DISTRICT",12594
99-SEND-027,"27TH SENATE DISTRICT",150831
99-SEND-028,"28TH SENATE DISTRICT",121268
99-SEND-029,"29TH SENATE DISTRICT",65343
99-SEND-030,"30TH SENATE DISTRICT",8109
99-SEND-039,"39TH SENATE DISTRICT",82396
99-SEND-040,"40TH SENATE DISTRICT",41313
99-SEND-041,"41ST SENATE DISTRICT",34504
RF-0010-000,"ALSIP VILLAGE REFERENDUM",12000
RF-0140-000,"BROOKFIELD VILLAGE REFERENDUM",13403
RF-0340-005,"NORTHSIDE RIVERSIDE PUBLIC LIBRARY DISTRICT REFERENDUM",4923
RF-0340-006,"NORTHWEST HOME FIRE PROTECTION DISTRICT REFERENDUM",230
RF-0380-005,"FRANKFORT SQUARE PARK DISTRICT REFERENDUM",548
RF-0450-005,"VILLAGE OF FRANKLIN PARK REFERENDUM",9998
RF-0530-000,"HAZEL CREST VILLAGE REFERENDA",9837
RF-0670-000,"LA GRANGE PARK VILLAGE REFERENDUM",9906
RF-0720-005,"BURBANK SCHOOL DISTRICT 111 REFERENDUM",16573
RF-0830-000,"NILES VILLAGE REFERENDUM",18942
RF-0880-000,"NORTHFIELD VILLAGE REFERENDUM",4673
RF-1050-000,"RICHTON PARK VILLAGE REFERENDUM",9020
RF-1060-000,"HOMEWOOD SCHOOL DISTRICT 153 REFERENDUM",12649
RF-1080-000,"RIVERDALE VILLAGE REFERENDUM",7669
RF-1250-005,"VILLAGE OF SUMMIT REFERENDUM",4726
RF-1260-001,"SCHOOL DISTRICT C.C 181 REFERENDUM",2493
RF-1290-000,"WESTCHESTER VILLAGE REFERENDUM",12774
RF-1320-000,"WILLOW SPRINGS VILLAGE REFERENDUM",4297
RF-1340-000,"WINNETKA VILLAGE REFERENDA",9784
RF-2210-000,"220 REAVIS HIGH SCHOOL REFERENDUM",18004
RF-6010-000,"STICKNEY FORESTVIEW LIBRARY REFERENDUM",5648
